grod_id,Grod_Type,Manual_Check
29,Dam,NoReserv
60,Dam,NoReserv
154,Dam,Reserv
216,Dam,NoReserv
243,Dam,NoReserv
246,Dam,Reserv
250,Dam,Reserv
269,Dam,Reserv
294,Dam,NoReserv
324,Dam,NoReserv
331,Dam,NoReserv
377,Dam,NoReserv
470,Dam,NoReserv
564,Dam,Reserv
735,Dam,Reserv
757,Dam,NoReserv
812,Dam,NoReserv
964,Dam,Reserv
8530,Lock,NoReserv
8534,Lock,NoReserv
8546,Lock,NoReserv
8547,Lock,NoReserv
8548,Lock,NoReserv
8550,Lock,NoReserv
8551,Lock,NoReserv
8553,Lock,NoReserv
8555,Lock,NoReserv
8556,Lock,NoReserv
8559,Lock,NoReserv
8561,Lock,NoReserv
8563,Lock,NoReserv
8564,Lock,NoReserv
8565,Lock,NoReserv
8566,Lock,NoReserv
8567,Lock,NoReserv
8568,Lock,NoReserv
8570,Lock,NoReserv
8573,Lock,NoReserv
8574,Lock,NoReserv
8575,Lock,NoReserv
8578,Lock,NoReserv
8580,Lock,NoReserv
8581,Lock,NoReserv
8582,Lock,NoReserv
8583,Lock,NoReserv
8584,Lock,NoReserv
8586,Lock,NoReserv
8588,Lock,NoReserv
8589,Lock,NoReserv
8590,Lock,Reserv
8591,Lock,Reserv
8594,Lock,Reserv
8595,Lock,Reserv
8604,Lock,Reserv
8611,Lock,NoReserv
8616,Lock,NoReserv
8617,Lock,NoReserv
8618,Lock,NoReserv
8621,Lock,NoReserv
8622,Lock,NoReserv
8625,Lock,NoReserv
8626,Lock,NoReserv
8628,Lock,NoReserv
8631,Lock,NoReserv
8644,Lock,NoReserv
8667,Lock,NoReserv
8668,Lock,NoReserv
8669,Lock,NoReserv
8670,Lock,NoReserv
8673,Lock,NoReserv
8674,Lock,NoReserv
8675,Lock,NoReserv
8678,Lock,NoReserv
8685,Lock,NoReserv
8687,Lock,NoReserv
8688,Lock,NoReserv
8690,Lock,NoReserv
8691,Lock,NoReserv
8693,Lock,NoReserv
8694,Lock,NoReserv
8695,Lock,NoReserv
8696,Lock,NoReserv
8698,Lock,NoReserv
8699,Lock,NoReserv
8700,Lock,NoReserv
8701,Lock,NoReserv
8705,Lock,NoReserv
8775,Lock,NoReserv
8792,Lock,NoReserv
8795,Lock,NoReserv
30105,Dam,NoReserv
30542,Dam,NoReserv
