Site 1,Site 2
07054527,07060500
07054502,07060500
07054502,07054527
07054502,07054501
07054501,07060500
07054501,07054527
07053450,07060500
07053450,07054527
07053450,07054502
07053450,07054501
06934500,05586300
06926510,06934500
06926080,06934500
06926080,06926510
05549500,05539670
05549500,05538020
05549500,412320088154101
05539670,412320088154101
05538020,05539670
05538020,412320088154101
05488110,05489500
05440700,05549500
05440700,05539670
05440700,05538020
05440700,412320088154101
05420460,05558300
05420460,05440700
04193490,04192500
040851385,04067500
04084445,040851385
04084445,040851385
03434870,03431514
03434870,03431091
03434870,03426310
03434870,03418420
03431514,03431091
03431514,03426310
03431514,03418420
03431091,03426310
03431091,03418420
03426310,03418420
03321500,03303280
03216070,03193000
03193000,03185400
03193000,03184500
03185400,03184500
03108500,03108490
03108500,03085002
03108500,03085000
03108500,03075070
03108500,03072655
03108500,03071590
03108500,03062445
03108500,03049640
03108500,03044000
03108500,03043810
03108500,03039040
03108500,03039035
03108500,394337079544201
03108490,03085002
03108490,03085000
03108490,03075070
03108490,03072655
03108490,03071590
03108490,03062445
03108490,03049640
03108490,03044000
03108490,03043810
03108490,03039040
03108490,03039035
03108490,394337079544201
03085002,03085000
03085002,03075070
03085002,03072655
03085002,03071590
03085002,03062445
03085002,394337079544201
03085000,03075070
03085000,03072655
03085000,03071590
03085000,03062445
03085000,394337079544201
03075070,03072655
03075070,03071590
03075070,03062445
03075070,394337079544201
03072655,03071590
03072655,03062445
03072655,394337079544201
03071590,03062445
03049640,03085002
03049640,03085000
03049640,03075070
03049640,03072655
03049640,03071590
03049640,03062445
03049640,03044000
03049640,03043810
03049640,394337079544201
03044000,03085002
03044000,03085000
03044000,03075070
03044000,03072655
03044000,03071590
03044000,03062445
03044000,394337079544201
03043810,03085002
03043810,03085000
03043810,03075070
03043810,03072655
03043810,03071590
03043810,03062445
03043810,03044000
03043810,394337079544201
03039040,03085002
03039040,03085000
03039040,03075070
03039040,03072655
03039040,03071590
03039040,03062445
03039040,03049640
03039040,03044000
03039040,03043810
03039040,394337079544201
03039035,03085002
03039035,03085000
03039035,03075070
03039035,03072655
03039035,03071590
03039035,03062445
03039035,03049640
03039035,03044000
03039035,03043810
03039035,03039040
03039035,394337079544201
02188100,02193900
02168504,02162035
02168504,02148000
02168504,02147801
02168504,02147505
02168504,02147310
02168504,0212378405
02162035,02148000
02162035,02147801
02162035,02147505
02162035,02147310
02162035,0212378405
02160991,02168504
02160991,02162035
02160991,02148000
02160991,02147801
02160991,02147505
02160991,02147310
02160991,0212378405
02147801,02148000
02147505,02148000
02147505,02147801
02147505,0212378405
02147310,02148000
02147310,02147801
02147310,02147505
02147310,0212378405
0214264790,0212378405
02141500,0214264790
02141500,0212378405
02129375,02148000
02129375,02147801
0212378405,02148000
0212378405,02147801
0212378405,02129375
01636500,01638500
01577505,01579550
01576980,01579550
01576980,01577505
01576003,01579550
01576003,01577505
01576003,01576980
01359165,01161280
01359139,01359165
01359139,01161280
01355475,01359165
01355475,01359139
01354330,01359165
01354330,01359139
01354330,01355475
01354230,01359165
01354230,01359139
01354230,01355475
01354230,01354330
01354083,01359165
01354083,01359139
01354083,01355475
01354083,01354330
01354083,01354230
01019300,01021050
453845121564001,454314120413701
453845121564001,453845121562000
453845121564001,453712121071200
453845121564001,14105700
453845121564001,14103000
453845121562000,454314120413701
453845121562000,453712121071200
453845121562000,14105700
453845121562000,14103000
453712121071200,454314120413701
453712121071200,14103000
453027122400000,453845121564001
453027122400000,453845121562000
453027122400000,14211720
451807122443100,453845121564001
451807122443100,453845121562000
451807122443100,453027122400000
451807122443100,14211720
451753122451200,453845121564001
451753122451200,453845121562000
451753122451200,453027122400000
451753122451200,451807122443100
451753122451200,14211720
451740122464500,451807122443100
451740122464500,451753122451200
451740122464500,451726122461800
451726122461800,451807122443100
451726122461800,451753122451200
451725122474400,451807122443100
451725122474400,451753122451200
451725122474400,451740122464500
451725122474400,451726122461800
394337079544201,03071590
394337079544201,03062445
14211720,453845121564001
14211720,453845121562000
14197900,451807122443100
14197900,451753122451200
14197900,451740122464500
14197900,451726122461800
14197900,451725122474400
14105700,454314120413701
14105700,453712121071200
14105700,14103000
14103000,454314120413701
13352950,13352600
13352950,13352595
13352950,13343855
13352950,13343595
13352950,13343590
13352950,13343000
13352950,13342500
13352950,13341050
13352600,13352595
13352600,13343855
13352600,13343595
13352600,13343590
13352600,13343000
13352600,13342500
13352600,13341050
13352595,13343855
13352595,13343595
13352595,13343590
13352595,13343000
13352595,13342500
13352595,13341050
13343595,13343590
13343595,13343000
13343595,13342500
13343595,13341050
13343590,13343000
13343590,13342500
13343590,13341050
13343000,13342500
13343000,13341050
13342500,13341050
